StartTime,StopTime,RunNumber,RunTitle,EventNumber,Recorder,Bytes,TrigParam,BeamMom,Beam/Spill,K-Beam/Spill,Pi-Beam/Spill,Beam,K-Beam,Pi-Beam,SpillNumber,DAQ-Eff,BeamxDAQEff,DAQ-Duty,MR-Power,SX-Duty,K1.8D1,K1.8D4,K1.8D4s,S2SQ1,S2SQ2,S2SD1,BLineSM1,ESS1_POS,ESS1_NEG,ESS2_POS,ESS2_NEG,TOFSelector,TrigA-ON,TrigA-PS,TrigA-Gate,TrigA,TrigB-ON,TrigB-PS,TrigB-Gate,TrigB,TrigC-ON,TrigC-PS,TrigC-Gate,TrigC,TrigD-ON,TrigD-PS,TrigD-Gate,TrigD,TrigE-ON,TrigE-PS,TrigE-Gate,TrigE,TrigF-ON,TrigF-PS,TrigF-Gate,TrigF
2023/06/16 23:51:33,2023/06/16 23:51:50,70001,daq test,26784,ON,544855304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/16 23:52:28,2023/06/16 23:52:59,70002,daq test,15402,ON,313309568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:11:43,2023/06/17 00:12:48,70003,pedestal run,72040,ON,1465667484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:12:58,2023/06/17 00:13:48,70004,pedestal run,88461,ON,1799695492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:14:13,2023/06/17 00:15:00,70005,pedestal run,17186,ON,349605772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:15:12,2023/06/17 00:16:10,70006,daq check,3516,ON,71523464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:16:23,2023/06/17 00:17:47,70007,daq check,36357,ON,739621184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:18:10,2023/06/17 00:18:37,70008,pedestal run,0,ON,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:18:49,2023/06/17 00:20:05,70009,pedestal run,213936,ON,4351883340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:20:22,2023/06/17 00:23:00,70010,daq check,122066,ON,2483129448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:23:26,2023/06/17 00:26:35,70011,daq check,147516,ON,3000834108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:34:15,2023/06/17 00:36:15,70012,daq check,13684,ON,278358084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:36:26,2023/06/17 00:36:59,70013,daq check,196,ON,3986232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:38:37,2023/06/17 00:39:40,70014,daq check,903,ON,18366880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:40:08,2023/06/17 00:41:59,70015,daq check,4152,ON,84461332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:42:11,2023/06/17 00:43:42,70016,daq check,632,ON,12854984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:43:49,2023/06/17 00:45:07,70017,daq check,589,ON,11981932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:45:22,2023/06/17 00:48:34,70018,daq check,452,ON,9195840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/17 00:50:13,2023/06/17 00:55:39,70019,daq check,4106,ON,83530580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
